Language,Category,Aspect,Count,Negative,Neutral,Positive,Negative_Probability,Neutral_Probability,Positive_Probability
German,PhD Student,wissenschaft,199,85,93,21,0.42817736021126035,0.4211297282696369,0.15069291143018243
German,PhD Student,wissenschaftler,112,51,49,12,0.4300122521817684,0.4183217417448759,0.15166600488425627
German,PhD Student,woche,58,21,29,8,0.37544625390577935,0.43916984390595865,0.1853839009357937
German,PhD Student,zeit,98,39,47,12,0.39560252808186475,0.42259678183769694,0.18180068864544127
German,PostDoc,antrag,76,19,52,5,0.3296050342093957,0.519535009357098,0.1508599576589308
German,PostDoc,antwort,91,29,47,15,0.34708655975595276,0.4292774743267468,0.22363596406488953
German,PostDoc,arbeit,364,100,194,70,0.3223972593403452,0.44274057360406927,0.23486216869051718
German,PostDoc,arbeitgeber,53,25,27,1,0.4633412736485589,0.4273639924402507,0.10929472632003277
German,PostDoc,arbeitsbedingung,221,88,113,20,0.4150874978142087,0.41968770222359114,0.16522480050582283
German,PostDoc,arbeitsvertrag,73,12,56,5,0.2405866388588735,0.6278433128170771,0.1315700526872318
German,PostDoc,arbeitszeit,53,12,39,2,0.32264912128448486,0.5764319099626452,0.10091896980719742
German,PostDoc,argument,92,42,44,6,0.4624484910265259,0.40547301802460267,0.13207849383394676
German,PostDoc,artikel,87,24,40,23,0.3324424543300236,0.4040236157076112,0.2635339263441233
German,PostDoc,ausland,75,29,38,8,0.4548271178205808,0.419497855703036,0.12567501749843354
German,PostDoc,bedingung,100,47,50,3,0.4688535736501217,0.42167014062404634,0.10947628830559548
German,PostDoc,befristung,146,56,86,4,0.4359586135267395,0.4518435619873543,0.11219782826860673
German,PostDoc,beispiel,53,12,36,5,0.28047613722254644,0.509070440915958,0.21045342158034158
German,PostDoc,beitrag,138,22,67,49,0.24824271805287482,0.4273136626065209,0.32444362013695244
German,PostDoc,bereich,78,22,49,7,0.3532444505641858,0.5066269164761672,0.1401286279925933
German,PostDoc,beschäftigung,60,20,40,0,0.38079885927339396,0.5149044979363679,0.10429663991866008
German,PostDoc,bewerbung,65,16,47,2,0.3131188960029529,0.5531292197796015,0.13375188608009075
German,PostDoc,bildung,72,18,49,5,0.3457458676356408,0.4953859085217118,0.15886822805946899
German,PostDoc,bmbf,110,69,32,9,0.5105717803266916,0.3460017735307867,0.14342644720084285
German,PostDoc,buch,90,20,50,20,0.2558430231279797,0.4728612378653553,0.27129573252879907
German,PostDoc,bund,53,15,34,4,0.35107817318079604,0.5098440855179193,0.13907774418311294
German,PostDoc,bundestag,54,19,29,6,0.37707929547738145,0.44567540619108414,0.17724529722774468
German,PostDoc,cdu,51,25,22,4,0.5001437368930555,0.3502039164304733,0.1496523433164054
German,PostDoc,chance,103,40,44,19,0.4142663972904381,0.3613927553145631,0.22434084979111996
German,PostDoc,dauerstelle,72,27,40,5,0.41944133392017746,0.4536871772466434,0.12687149535243705
German,PostDoc,debatte,135,48,67,20,0.3681123240678399,0.4566749059491687,0.17521276811344752
German,PostDoc,deutschland,206,86,106,14,0.45389376698260747,0.41881454952097347,0.12729168403893704
German,PostDoc,dis,65,21,38,6,0.34167925411692035,0.4914535199220364,0.16686722813890528
German,PostDoc,diskussion,146,40,81,25,0.33120280303928534,0.468398036231121,0.2003991564493371
German,PostDoc,drittmittel,93,30,60,3,0.38331310979781613,0.5097640349018958,0.10692285298700291
German,PostDoc,druck,82,43,31,8,0.47034584440109206,0.37632478778136935,0.15332936258168842
German,PostDoc,entfristung,79,36,42,1,0.4622790202309814,0.44302771344215053,0.09469327110136985
German,PostDoc,erfahrung,87,33,46,8,0.3798077329565054,0.45912867570402977,0.1610635846382242
German,PostDoc,erfolg,59,15,18,26,0.25950015674076843,0.3271094709003376,0.4133903794622017
German,PostDoc,ergebnis,80,22,51,7,0.31888279777485873,0.5209551449865103,0.16016206409549336
German,PostDoc,fach,60,23,31,6,0.423916615297397,0.4621431873490413,0.11394019480794663
German,PostDoc,familie,96,40,51,5,0.41414114598107216,0.45404722335903597,0.13181162828307905
German,PostDoc,folge,56,16,36,4,0.3650681835798813,0.4805899706802198,0.154341852741449
