Category,Language,Aspect,Count,Negative,Neutral,Positive
Others,German,leben,18,7,10,1
Others,German,studium,18,10,4,4
Others,German,finanzierung,17,15,2,0
Others,German,zeit,17,8,7,2
Others,German,menschen,16,13,0,3
Others,German,programm,16,7,4,5
Others,German,twitter,15,4,10,1
Others,German,prof,15,10,3,2
Others,German,projekt,15,9,3,3
Others,German,position,14,10,1,3
Others,German,betrieb,14,12,1,1
Others,German,vertrag,14,11,3,0
Others,German,professur,14,9,5,0
Others,German,unis,14,12,1,1
Others,German,mittelbau,14,9,5,0
Others,German,interview,13,1,7,5
Others,German,gehalt,13,8,1,4
Others,German,universität,13,10,1,2
Others,German,wissenschaftlerinnen,13,9,1,3
Others,German,beitrag,13,3,2,8
Others,German,text,12,4,2,6
Others,German,überstunden,12,10,2,0
Others,German,karriere,12,10,2,0
Others,German,verwaltung,12,9,0,3
Others,German,argumente,12,8,1,3
Others,German,verantwortung,11,6,4,1
Others,German,hannas,11,5,3,3
Others,German,bund,11,6,3,2
Others,German,arbeitgeber,11,10,0,1
Others,German,frage,11,4,5,2
Others,German,studierenden,11,6,3,2
Others,German,preis,11,8,2,1
Others,German,präsidentin,11,5,5,1
Others,German,beschäftigten,11,5,5,1
Others,German,professuren,11,10,1,0
Lecturers,German,thread,12,2,3,7
Unknown,English,wert,30,14,16,0
Unknown,English,eu,23,3,20,0
Unknown,English,kuzey,22,10,12,0
Unknown,English,kuzey ali,19,18,0,1
Unknown,English,system,14,14,0,0
Unknown,English,job,12,7,5,0
Unknown,English,conditions,11,10,1,0
Unknown,German,system,109,94,5,10
Unknown,German,stelle,98,62,22,14
Unknown,German,geld,67,57,8,2
Unknown,German,job,63,33,18,12
Unknown,German,arbeitsbedingungen,59,48,2,9
Unknown,German,lehre,54,38,2,14
Unknown,German,wissenschaft,53,42,9,2
Unknown,German,hanna,49,24,12,13
Unknown,German,stellen,48,43,1,4
Unknown,German,leute,44,40,1,3
Unknown,German,promotion,42,28,11,3
Unknown,German,politik,36,27,7,2
Unknown,German,video,33,25,4,4
Unknown,German,thema,31,13,12,6
Unknown,German,situation,31,24,7,0
Unknown,German,professor,30,17,8,5
Unknown,German,vertrag,28,14,10,4
Unknown,German,menschen,28,19,4,5
Unknown,German,leben,27,9,17,1
Unknown,German,jobs,25,14,5,6
Unknown,German,personal,23,17,1,5
Unknown,German,arbeit,22,17,3,2
Unknown,German,professuren,22,17,2,3
Unknown,German,studium,20,11,1,8
Unknown,German,kuzey ali,20,20,0,0
Unknown,German,chef,19,11,2,6
Unknown,German,prof,19,9,5,5
Unknown,German,twitter,18,9,7,2
Unknown,German,debatte,17,14,2,1
Unknown,German,punkt,17,8,9,0
Unknown,German,professur,16,11,2,3
Unknown,German,wissenschaftler,16,12,2,2
Unknown,German,karriere,16,8,6,2
Unknown,German,dienst,15,11,3,1
Unknown,German,vollksverpetzer,15,0,15,0
Unknown,German,diskussion,15,10,2,3
Unknown,German,bereich,15,12,2,1
Unknown,German,finanzierung,15,12,3,0
Unknown,German,unis,15,14,0,1
Unknown,German,uni,15,13,0,2
Unknown,German,artikel,15,6,6,3
Unknown,German,ali,14,0,0,14
Unknown,German,professoren,14,12,2,0
Unknown,German,betrieb,14,12,0,2
Unknown,German,person,14,9,3,2
Unknown,German,hochschulen,14,14,0,0
Unknown,German,argument,13,10,2,1
Unknown,German,forschung,13,7,4,2
Unknown,German,universität,13,12,0,1
Unknown,German,thread,13,2,3,8
Unknown,German,mitarbeiter,13,10,2,1
Unknown,German,zeit,13,7,5,1
Unknown,German,staat,13,13,0,0
Unknown,German,kosten,13,9,2,2
Unknown,German,systems,12,10,2,0
Unknown,German,frau,12,6,1,5
Unknown,German,bezahlung,12,9,0,3
Unknown,German,gehalt,12,6,3,3
Unknown,German,bildung,12,10,0,2
Unknown,German,verträge,12,9,3,0
Unknown,German,chance,12,4,5,3
Unknown,German,lehrer,11,7,2,2
Unknown,German,position,11,7,4,0
Unknown,German,beruf,11,6,3,2
Unknown,German,kinder,11,6,4,1
Unknown,German,tag,11,4,4,3
Unknown,German,account,11,8,2,1
Unknown,German,weg,11,7,2,2
Unknown,German,überstunden,11,9,2,0
Unknown,German,grund,11,7,4,0
PD,German,system,45,41,4,0
PD,German,leute,23,21,1,1
PD,German,wissenschaft,21,17,2,2
PD,German,personal,15,15,0,0
PD,German,geld,14,7,6,1
PD,German,stellen,14,12,1,1
PD,German,argument,14,13,1,0
PD,German,professuren,14,11,2,1
PD,German,professur,13,9,1,3
PD,German,lehre,13,9,0,4
PD,German,stelle,12,8,3,1
