Category,Language,Aspect,Count,Negative,Neutral,Positive
PostDoc,English,result lecturers,1,1,0,0
PostDoc,English,response,1,1,0,0
PostDoc,English,resistance,1,1,0,0
PostDoc,English,researchers,1,1,0,0
PostDoc,English,reps tim,1,0,0,1
PostDoc,English,setting,1,0,0,1
PostDoc,English,short term,1,1,0,0
PostDoc,English,shortterm,1,0,1,0
PostDoc,English,student,1,0,1,0
PostDoc,English,technology,1,0,0,1
PostDoc,English,team spirit,1,0,1,0
PostDoc,English,team,1,0,0,1
PostDoc,English,teaching evaluations,1,1,0,0
PostDoc,English,tasks,1,1,0,0
PostDoc,English,take,1,0,1,0
PostDoc,English,systemic problems,1,1,0,0
PostDoc,English,synthesis thank,1,0,0,1
PostDoc,English,surprise,1,0,0,1
PostDoc,English,support,1,1,0,0
PostDoc,English,summary,1,0,0,1
PostDoc,English,studies,1,0,1,0
PostDoc,English,stephen turner,1,0,1,0
PostDoc,English,nichts nada,1,1,0,0
PostDoc,English,statement,1,0,1,0
PostDoc,English,state,1,1,0,0
PostDoc,English,stage,1,0,1,0
PostDoc,English,staff scientists,1,0,1,0
PostDoc,English,speaker,1,1,0,0
PostDoc,English,sourav,1,0,1,0
PostDoc,English,solidarity,1,0,1,0
PostDoc,English,socrates,1,1,0,0
PostDoc,English,socks,1,0,1,0
PostDoc,English,so,1,1,0,0
PostDoc,English,smts,1,1,0,0
PostDoc,English,skills,1,0,0,1
PostDoc,English,nina,1,0,1,0
PostDoc,English,living rent,1,0,0,1
PostDoc,English,news,1,1,0,0
PostDoc,English,decreasing productivity,1,1,0,0
PostDoc,English,data,1,0,0,1
PostDoc,English,date,1,0,1,0
PostDoc,English,day,1,0,0,1
PostDoc,English,daycare,1,0,1,0
PostDoc,English,deadline,1,1,0,0
PostDoc,English,decor,1,1,0,0
PostDoc,English,defending,1,1,0,0
PostDoc,English,dieter lukas,1,1,0,0
PostDoc,English,dentist,1,0,1,0
PostDoc,English,department,1,0,0,1
PostDoc,English,departments,1,1,0,0
PostDoc,English,description,1,0,1,0
PostDoc,English,deutsche,1,0,1,0
PostDoc,English,development,1,1,0,0
PostDoc,English,darkness,1,0,1,0
PostDoc,English,curator,1,0,0,1
PostDoc,English,cup,1,0,1,0
PostDoc,English,culture,1,0,1,0
PostDoc,English,crisis,1,1,0,0
PostDoc,English,covid,1,0,0,1
PostDoc,English,cover,1,0,1,0
PostDoc,English,councils,1,1,0,0
PostDoc,English,corinna dartenne,1,0,0,1
PostDoc,English,core,1,0,0,1
PostDoc,English,conversation,1,0,1,0
PostDoc,English,contract duration,1,1,0,0
PostDoc,English,conferences,1,1,0,0
PostDoc,English,committees,1,0,0,1
PostDoc,English,comment section,1,1,0,0
PostDoc,English,colleague,1,0,0,1
PostDoc,English,coach,1,1,0,0
PostDoc,English,dgfa,1,0,1,0
PostDoc,English,dimension,1,0,0,1
PostDoc,English,new job,1,0,1,0
PostDoc,English,excellent,1,0,0,1
PostDoc,English,even,1,1,0,0
PostDoc,English,events,1,0,1,0
PostDoc,English,everyone,1,0,0,1
PostDoc,English,everything,1,0,0,1
PostDoc,English,exam,1,1,0,0
PostDoc,English,exams,1,0,1,0
PostDoc,English,expenses,1,1,0,0
PostDoc,English,directionless,1,1,0,0
PostDoc,English,expensive conferences,1,1,0,0
PostDoc,English,experience,1,0,0,1
PostDoc,English,experiment,1,0,0,1
PostDoc,English,fact sheet,1,0,1,0
PostDoc,English,faculty,1,0,0,1
PostDoc,English,family,1,0,0,1
PostDoc,English,essay is,1,0,0,1
PostDoc,English,essay,1,0,1,0
PostDoc,English,equipment,1,0,0,1
PostDoc,English,energy,1,0,1,0
PostDoc,English,employment contract,1,0,0,1
PostDoc,English,employee turnover,1,1,0,0
PostDoc,English,educators,1,1,0,0
PostDoc,English,education systems,1,0,0,1
PostDoc,English,dynamic,1,1,0,0
PostDoc,English,duties,1,1,0,0
PostDoc,English,durchlauferhitzer,1,1,0,0
PostDoc,English,drittmittel,1,0,1,0
PostDoc,English,dr niall kennedy,1,0,0,1
