Language,Category,Aspect,Count,Negative,Neutral,Positive,Negative_Probability,Neutral_Probability,Positive_Probability,Aspect_Category
German,PostDoc,diskussion,146,40,81,25,0.3312028030392853,0.468398036231121,0.2003991564493371,thema
German,Professor,diskussion,133,32,74,27,0.3055101611574453,0.4718673758880984,0.2226224576816298,thema
German,Unknown,diskussion,63,26,28,9,0.3894789587292406,0.409352986762921,0.2011680556165556,thema
German,Others,druck,69,36,26,7,0.4758283978031165,0.3687438220325587,0.1554277816220469,druck
German,PostDoc,druck,82,43,31,8,0.470345844401092,0.3763247877813693,0.1533293625816884,druck
German,Professor,druck,63,28,32,3,0.4480060825627001,0.426028395899468,0.1259655211239106,druck
German,Unknown,druck,52,30,20,2,0.5190895889670804,0.3644294681457373,0.1164809450722084,druck
German,Others,entfristung,87,37,47,3,0.4316605608268031,0.4578282134286288,0.1105112249845231,befristung
German,PostDoc,entfristung,79,36,42,1,0.4622790202309814,0.4430277134421505,0.0946932711013698,befristung
German,Professor,entfristung,83,27,51,5,0.3950461928384849,0.4757674989032458,0.1291863091783709,befristung
German,Others,erfahrung,84,17,60,7,0.2929590729819167,0.5560557098970527,0.1509852169436357,jahr
German,PostDoc,erfahrung,87,33,46,8,0.3798077329565054,0.4591286757040297,0.1610635846382242,jahr
German,Professor,erfahrung,67,17,40,10,0.290468189754148,0.5032247294908139,0.2063070844247269,jahr
German,Unknown,erfahrung,60,22,32,6,0.4205133731166521,0.4355447291086117,0.1439418970762441,jahr
German,Others,familie,64,31,27,6,0.4394620247767307,0.4097165442071855,0.150821441435255,mensch
German,PostDoc,familie,96,40,51,5,0.4141411459810721,0.4540472233590359,0.131811628283079,mensch
German,Professor,familie,61,23,33,5,0.3731599817754792,0.4855493320549121,0.141290685131413,mensch
German,Unknown,familie,62,26,30,6,0.3960956859612657,0.4423827057884585,0.1615216068983558,mensch
German,Others,folge,76,16,54,6,0.2572745394304786,0.5644538077574811,0.1782716606179938,druck
German,PostDoc,folge,56,16,36,4,0.3650681835798813,0.4805899706802198,0.154341852741449,druck
German,Others,forderung,87,19,60,8,0.2994675224796793,0.5504226303477396,0.1501098480503791,chance
German,PostDoc,forderung,73,20,47,6,0.3639863428902136,0.4764336766547536,0.1595799831852112,chance
German,Professor,forderung,51,17,32,2,0.394971098056903,0.4930106211526721,0.1120182752755342,chance
German,Others,forschung,308,81,204,23,0.3241055441004308,0.5204191503973751,0.1554753079181899,forschung
German,PhD Student,forschung,110,39,61,10,0.3819571047343991,0.4580473785034635,0.1599955116313966,forschung
German,PostDoc,forschung,424,107,279,38,0.3318531911837745,0.5127990448864985,0.155347764509607,forschung
German,Professor,forschung,373,99,238,36,0.3263095075429364,0.5050268209072444,0.1686636720566783,forschung
German,Unknown,forschung,256,86,151,19,0.3878693068836583,0.4808373416744871,0.1312933503686508,forschung
German,Others,frage,109,38,65,6,0.3841574705727056,0.4961521598860758,0.1196903696864706,forschung
German,PostDoc,frage,164,58,98,8,0.4048166582588015,0.5113156748163264,0.0838676658459007,forschung
German,Professor,frage,125,38,77,10,0.3792902593612671,0.4927009436488151,0.1280087952315806,forschung
German,Unknown,frage,85,27,57,1,0.3830312818288803,0.5518599208225222,0.0651087952120338,forschung
German,Others,frau,58,26,31,1,0.4434630822004943,0.462344668291766,0.0941922461999387,druck
German,PostDoc,frau,66,30,31,5,0.4324827945198525,0.4134612361138517,0.1540559720332649,druck
German,Professor,frau,63,24,30,9,0.4028733673668097,0.4143724721812066,0.1827541591658714,druck
German,Others,geld,89,45,41,3,0.4695508782280965,0.4201731341106168,0.1102759827012091,uni
German,PostDoc,geld,142,74,65,3,0.4783427493620506,0.4186538242223397,0.1030034286980057,uni
German,Professor,geld,135,66,61,8,0.4719764294447722,0.3976044727144417,0.1304190995792547,uni
German,Unknown,geld,139,66,66,7,0.4731507480358906,0.4125247913406049,0.1143244570724183,uni
German,Others,geschichte,51,13,32,6,0.3084027066315505,0.514060816198003,0.1775364871410762,forschung
German,PostDoc,geschichte,61,17,38,6,0.3301393831851051,0.5046994325201042,0.1651611813481469,forschung
German,Others,gesellschaft,62,17,40,5,0.3412767425780334,0.5130622371310188,0.1456610208918009,gesellschaft
German,PostDoc,gesellschaft,79,36,39,4,0.4460554180454604,0.4215089536826067,0.1324356309833782,gesellschaft
